,t,x,y,ω
1,0.017,0.101,0.164,-20.9
2,0.034,0.104,0.163,-54.3
3,0.05,0.106,0.16,-104.6
4,0.067,0.113,0.155,-147.6
5,0.084,0.119,0.151,-154.3
6,0.101,0.126,0.144,-182.3
7,0.117,0.133,0.136,-202.0
8,0.134,0.139,0.125,-207.4
9,0.151,0.146,0.117,-188.6
10,0.168,0.15,0.107,-204.7
11,0.184,0.156,0.09658,-233.2
12,0.201,0.162,0.08571,-258.1
13,0.218,0.168,0.0716,-293.7
14,0.235,0.173,0.05617,-293.4
15,0.252,0.177,0.04167,-304.0
16,0.268,0.179,0.02441,-303.7
17,0.285,0.178,0.009568,-262.0
18,0.302,0.177,-0.003134,-246.9
19,0.319,0.175,-0.01595,-278.7
20,0.335,0.17,-0.03103,-299.6
21,0.352,0.166,-0.04538,-335.9
22,0.369,0.161,-0.06382,-302.3
23,0.386,0.155,-0.07373,-238.6
24,0.403,0.149,-0.08496,-280.7
25,0.419,0.139,-0.09686,-315.9
26,0.436,0.131,-0.111,-301.7
27,0.453,0.12,-0.119,-312.9
28,0.47,0.111,-0.136,-308.6
29,0.486,0.09924,-0.143,-268.6
30,0.503,0.08523,-0.146,-275.6
31,0.52,0.07062,-0.148,-299.1
32,0.537,0.05867,-0.159,-299.8
33,0.553,0.04466,-0.162,-298.5
34,0.57,0.02949,-0.164,-265.3
35,0.587,0.01922,-0.168,-231.0
36,0.604,0.007355,-0.17,-291.2
37,0.621,-0.009739,-0.171,-317.2
38,0.637,-0.02426,-0.169,-257.3
39,0.654,-0.03504,-0.167,-289.4
40,0.671,-0.05226,-0.162,-374.9
41,0.688,-0.07091,-0.156,-362.2
42,0.704,-0.08649,-0.15,-314.4
43,0.721,-0.09992,-0.143,-269.6
44,0.738,-0.11,-0.136,-252.5
45,0.755,-0.122,-0.128,-270.1
46,0.771,-0.132,-0.118,-281.5
47,0.788,-0.144,-0.109,-293.8
48,0.805,-0.151,-0.0947,-294.8
49,0.822,-0.159,-0.08164,-301.4
50,0.839,-0.166,-0.06687,-312.0
51,0.855,-0.173,-0.05216,-320.7
52,0.872,-0.178,-0.03513,-298.4
53,0.889,-0.182,-0.02157,-283.4
54,0.906,-0.186,-0.005414,-297.6
55,0.922,-0.185,0.01042,-349.7
56,0.939,-0.184,0.03263,-330.8
57,0.956,-0.179,0.04573,-307.2
58,0.973,-0.177,0.06564,-367.0
59,0.989,-0.167,0.08413,-350.4
60,1.006,-0.162,0.102,-386.2
61,1.023,-0.148,0.122,-340.5
62,1.04,-0.14,0.134,-288.1
63,1.057,-0.128,0.148,-386.3
64,1.073,-0.109,0.165,-401.8
65,1.09,-0.09152,0.178,-362.4
